ufcstats_id,fighter_name,date_of_birth,espn_id,sherdog_id
6ac9bc2953c47345,Gerald Meerschaert,12/18/1987,,
9cfbfae5fa1fdd93,Geraldo de Freitas,9/30/1991,,
1d239d571e342453,Germaine de Randamie,4/24/1984,,
fcd448a2fe1a23cc,Gian Villante,8/18/1985,,
9560ff14eb3129f7,Giga Chikadze,8/25/1988,,
23024fdfc966410a,Gilbert Burns,7/20/1986,,
aa5b4eff51bdc7d1,Gilbert Melendez,4/12/1982,,
38c7f72747f4f712,Gillian Robertson,5/17/1995,,
016a8d958883167c,Gina Mazany,8/19/1988,,
7ff97850e8c32bda,Glover Teixeira,10/28/1979,,
99bd51917728c25d,Grant Dawson,2/20/1994,,
85073dbd1be65ed9,Greg Hardy,7/28/1988,,
84ff027394f7e470,Gregor Gillespie,11/13/1986,,
d3fa5c5955397532,Grigory Popov,4/18/1984,,
d05412b513b19621,Guido Cannetti,12/19/1979,,
fd55393021a8c255,Gunnar Nelson,7/28/1988,,
7772b283d288dbe2,Guram Kutateladze,1/8/1992,,
93b62c5f2ba18e51,Gustavo Lopez,6/27/1989,,
2c9d00968f818270,Hakeem Dawodu,7/2/1991,,
2244d9a2b64b8c3b,Hannah Cifers,6/26/1992,,
26e3f3928b1891d9,Hannah Goldy,5/18/1992,,
c487223b0289bda9,Hector Aldana,8/17/1988,,
1897b7b913736a7c,Heili Alateng,12/14/1991,,
056c493bbd76a918,Henry Cejudo,2/9/1987,,
4f140403000158b5,Herbert Burns,2/2/1988,,
634e2fb70bde3fd5,Holly Holm,10/17/1981,,
2c2caf2f2bab9df5,Humberto Bandenay,9/4/1994,,
2af2f2e26c4c0402,Hunter Azure,3/2/1992,,
2e585c701f72fe55,Ian Heinisch,8/5/1988,,
f9d0cae37dabfafc,Ike Villanueva,4/4/1984,,
54f64b5e283b0ce7,Ilia Topuria,1/21/1997,,
e9a3aeb207578eea,Ilir Latifi,7/28/1983,,
257b0c8d6f199895,Impa Kasanganay,1/17/1994,,
43a59ce3bb40449e,Inoue Mizuki,8/19/1994,,
cd13728ae1151f46,Ion Cutelaba,12/14/1993,,
578ef12674df1e6a,Irene Aldana,3/26/1988,,
06a80a685ea98573,Irwin Rivera,2/14/1989,,
e0f959f65d0406b4,Isabela de Padua,9/4/1991,,
275aca31f61ba28c,Islam Makhachev,10/27/1991,,
6a96ad1bc34fb113,Ismail Naurdiev,8/18/1996,,
