fight_id,ufcstats_id,round,fighter_round_knockdowns,fighter_round_sig_strikes_landed,fighter_round_sig_strikes_attempted,fighter_round_sig_strike_percentage,fighter_round_strikes_landed,fighter_round_strikes_attempted,fighter_round_strike_percentage,fighter_round_takedowns,fighter_round_takedowns_attempted,fighter_round_takedowns_percentage,fighter_round_submission_attempts,fighter_round_reversals,fighter_round_control,fighter_round_sig_strikes_head_landed,fighter_round_sig_strikes_head_attempts,fighter_round_sig_strikes_head_percentage,fighter_round_sig_strikes_body_landed,fighter_round_sig_strikes_body_attempts,fighter_round_sig_strikes_body_percentage,fighter_round_sig_strikes_leg_landed,fighter_round_sig_strikes_leg_attempts,fighter_round_sig_strikes_leg_percentage,fighter_round_sig_strikes_distance_landed,fighter_round_sig_strikes_distance_attempts,fighter_round_sig_strikes_distance_percentage,fighter_round_sig_strikes_clinch_landed,fighter_round_sig_strikes_clinch_attempts,fighter_round_sig_strikes_clinch_percentage,fighter_round_sig_strikes_ground_landed,fighter_round_sig_strikes_ground_attempts,fighter_round_sig_strikes_ground_percentage
be977e524ef56aa4,92a9aa9c93192871,2,0,15,47,31,22,54,40,1,2,50,0,0,18,14,43,32,1,3,33,0,1,0,10,37,27,5,10,50,0,0,0
be977e524ef56aa4,92a9aa9c93192871,3,0,31,89,34,31,89,34,0,1,0,0,0,2,24,82,29,6,6,100,1,1,100,29,85,34,2,4,50,0,0,0
bec3154a11df3299,54f64b5e283b0ce7,1,0,15,38,39,16,39,41,0,0,0,0,0,0,4,25,16,7,8,87,4,5,80,13,36,36,2,2,100,0,0,0
bec3154a11df3299,54f64b5e283b0ce7,2,1,20,39,51,20,39,51,0,0,0,0,0,3,13,28,46,5,8,62,2,3,66,15,34,44,2,2,100,3,3,100
bec3154a11df3299,e1248941344b3288,1,0,26,52,50,26,52,50,0,0,0,0,0,0,8,29,27,7,12,58,11,11,100,24,49,48,2,3,66,0,0,0
bec3154a11df3299,e1248941344b3288,2,0,21,55,38,21,55,38,0,0,0,0,0,0,13,39,33,4,10,40,4,6,66,20,53,37,1,2,50,0,0,0
bec57d7cce0e6257,32490e80ddab1e5a,1,0,9,21,42,11,23,47,0,1,0,0,0,19,4,15,26,1,2,50,4,4,100,8,20,40,1,1,100,0,0,0
bec57d7cce0e6257,447f9858ae78f921,1,1,20,28,71,20,28,71,0,1,0,0,0,2,7,14,50,3,4,75,10,10,100,19,27,70,0,0,0,1,1,100
bed2710e06dabe6a,2844b047183a1adb,1,0,13,35,37,21,43,48,1,2,50,0,1,52,11,27,40,2,8,25,0,0,0,9,29,31,4,6,66,0,0,0
bed2710e06dabe6a,2844b047183a1adb,2,0,26,49,53,27,50,54,0,0,0,2,2,13,21,43,48,5,6,83,0,0,0,16,36,44,4,4,100,6,9,66
bed2710e06dabe6a,2844b047183a1adb,3,0,12,36,33,12,36,33,0,0,0,0,0,0,11,34,32,0,1,0,1,1,100,12,36,33,0,0,0,0,0,0
bed2710e06dabe6a,dccb63727f2f5f74,1,0,15,45,33,15,45,33,2,2,100,0,0,67,7,32,21,2,7,28,6,6,100,14,41,34,1,4,25,0,0,0
bed2710e06dabe6a,dccb63727f2f5f74,2,0,10,26,38,13,31,41,1,3,33,0,0,60,5,21,23,2,2,100,3,3,100,9,25,36,1,1,100,0,0,0
bed2710e06dabe6a,dccb63727f2f5f74,3,0,23,39,58,23,39,58,1,2,50,0,0,43,15,29,51,6,8,75,2,2,100,23,39,58,0,0,0,0,0,0
bed89a91da9d04c1,05339613bf8e9808,1,0,7,20,35,8,21,38,0,1,0,0,0,0,4,15,26,1,3,33,2,2,100,7,20,35,0,0,0,0,0,0
bed89a91da9d04c1,05339613bf8e9808,2,0,0,2,0,8,10,80,0,0,0,0,1,13,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
bed89a91da9d04c1,05339613bf8e9808,3,0,3,9,33,13,19,68,0,0,0,0,0,0,2,8,25,1,1,100,0,0,0,3,9,33,0,0,0,0,0,0
bed89a91da9d04c1,fe2babf95de24fb1,1,0,5,22,22,12,29,41,5,6,83,0,0,131,2,18,11,0,0,0,3,4,75,5,22,22,0,0,0,0,0,0
bed89a91da9d04c1,fe2babf95de24fb1,2,0,1,5,20,17,23,73,3,3,100,0,1,247,1,5,20,0,0,0,0,0,0,1,4,25,0,0,0,0,1,0
bed89a91da9d04c1,fe2babf95de24fb1,3,0,2,6,33,18,23,78,8,9,88,0,0,227,2,6,33,0,0,0,0,0,0,2,6,33,0,0,0,0,0,0
bee95769a221af9a,1291edf2d566a71a,1,0,4,22,18,9,27,33,1,2,50,0,0,6,2,16,12,1,3,33,1,3,33,4,22,18,0,0,0,0,0,0
bee95769a221af9a,1291edf2d566a71a,2,0,15,58,25,25,72,34,0,0,0,0,0,0,7,47,14,5,8,62,3,3,100,15,58,25,0,0,0,0,0,0
bee95769a221af9a,1291edf2d566a71a,3,0,7,46,15,10,57,17,0,0,0,0,0,0,4,39,10,2,6,33,1,1,100,6,44,13,1,2,50,0,0,0
bee95769a221af9a,cc1a8b4b38b92c6d,1,0,5,17,29,15,29,51,0,1,0,0,0,129,3,15,20,1,1,100,1,1,100,4,16,25,1,1,100,0,0,0
bee95769a221af9a,cc1a8b4b38b92c6d,2,0,19,46,41,24,54,44,0,2,0,0,0,72,13,39,33,3,4,75,3,3,100,18,44,40,1,2,50,0,0,0
bee95769a221af9a,cc1a8b4b38b92c6d,3,1,24,43,55,25,44,56,0,0,0,0,0,154,23,41,56,1,2,50,0,0,0,11,22,50,2,2,100,11,19,57
bef2a2e68fb4dfa8,01b352b6a9074d5c,1,0,17,39,43,27,49,55,0,0,0,0,0,44,7,28,25,6,7,85,4,4,100,16,38,42,1,1,100,0,0,0
bef2a2e68fb4dfa8,01b352b6a9074d5c,2,0,21,42,50,41,62,66,0,0,0,0,0,0,10,26,38,5,8,62,6,8,75,20,41,48,0,0,0,1,1,100
bef2a2e68fb4dfa8,01b352b6a9074d5c,3,0,31,56,55,44,69,63,0,0,0,0,0,77,17,36,47,13,18,72,1,2,50,17,41,41,14,15,93,0,0,0
