ufcstats_id,first_name,last_name,full_name,nickname,height,weight,reach,stance,wins,losses,draws,belt
38b1417ec17072da,Jess,Bouscal,Jess Bouscal,,--,155,,,3,2,0,False
2efbc83a6b9b7f86,Tai,Bowden,Tai Bowden,,"5' 11""",230,,,1,1,0,False
81ca2c245b19b3c5,Melton,Bowen,Melton Bowen,The Punisher,"6' 0""",225,,Orthodox,0,1,0,False
5488b3c67600333a,Kyron,Bowen,Kyron Bowen,Bullseye,"6' 3""",185,73.0,Orthodox,9,5,0,False
b26d3e3746fb4024,Brian,Bowles,Brian Bowles,,"5' 7""",135,70.0,Orthodox,10,3,0,False
3b9f723e2720a238,Roger,Bowling,Roger Bowling,Relentless,"5' 9""",155,68.0,Orthodox,12,6,0,False
a95a0504fd73bd3e,Blake,Bowman,Blake Bowman,,"6' 2""",170,,,2,6,0,False
8a0a35e7c74bebcc,Ashe,Bowman,Ashe Bowman,The Archer,"5' 9""",155,,,9,11,0,False
4a191f4ea2fce7fc,Anvar,Boynazarov,Anvar Boynazarov,The Uzbek,"5' 9""",145,,Orthodox,3,1,0,False
1433786ac76cf777,Colley ,Bradford,Colley  Bradford,,"5' 7""",145,,,0,1,0,False
a6959da32f0e6b5d,Kyle,Bradley,Kyle Bradley,,"5' 9""",155,71.0,Orthodox,19,12,0,False
c7011de4765d2497,Paul,Bradley,Paul Bradley,The Gentleman,"5' 9""",170,,Orthodox,23,8,0,False
45f7cb591c3ab00b,Sean,Brady,Sean Brady,,"5' 10""",170,72.0,Orthodox,18,2,0,False
dc950d59dc590aca,Ebenezer Fontes,Braga,Ebenezer Fontes Braga,Pitbull,"6' 0""",199,,Orthodox,13,7,2,False
3d074044a33825e7,Ramiz,Brahimaj,Ramiz Brahimaj,,"5' 10""",170,72.0,Orthodox,13,5,0,False
3c99bd6cb5d835ef,Adam,Bramhald,Adam Bramhald,Samurai,"5' 10""",135,70.0,Orthodox,13,3,0,False
013da757877044a2,Joe,Brammer,Joe Brammer,The South Side Strangler,"5' 8""",155,,Orthodox,7,3,1,False
d2c55d1d2e67773b,David,Branch,David Branch,,"6' 1""",185,78.0,Orthodox,22,6,0,False
edae6db2b3453632,Billy,Brand,Billy Brand,,"5' 6""",135,65.0,Orthodox,5,2,0,False
c2e3e67b5911bfb7,Diego,Brandao,Diego Brandao,DB,"5' 7""",145,64.0,Orthodox,22,11,0,False
7138a15258dabf20,Bruna,Brasil,Bruna Brasil,,"5' 6""",115,65.0,Orthodox,11,5,1,False
dc63542668295c23,Michael,Bravo,Michael Bravo,,--,155,,,7,4,0,False
9c44f290f5726d95,Martin,Bravo,Martin Bravo,El Toro,"5' 8""",145,71.0,Southpaw,11,3,0,False
37ce890a4670b287,Roman,Bravo-Young,Roman Bravo-Young,,--,205,,,0,1,0,False
d80ee110748171ac,Mike,Breeden,Mike Breeden,Money,"5' 10""",155,70.0,Orthodox,11,6,0,False
1588b787bda7b540,Tom,Breese,Tom Breese,,"6' 3""",185,73.0,Southpaw,12,3,0,False
48a9a128784d53d1,Elves,Brener,Elves Brener,,"5' 10""",155,72.0,Orthodox,16,6,0,False
b19fc66613dc75b9,Chris,Brennan,Chris Brennan,The Westside Strangler,"5' 8""",170,,Orthodox,21,13,1,False
98f6da59d765ec94,Charlie,Brenneman,Charlie Brenneman,The Spaniard,"5' 10""",155,70.0,Orthodox,19,8,0,False
e319d6697d41f3cf,Robert,Breslin,Robert Breslin,The Bullet,"5' 11""",155,,,3,9,0,False
106a925d947a0de9,Mack,Brewer,Mack Brewer,,--,205,,,0,1,0,False
11547e29f253fb89,Marcos,Brigagao,Marcos Brigagao,Ironside,"6' 3""",205,76.0,Southpaw,11,1,0,False
